"","study","treatment","therm1","therm2","therm3","therm4"
"2738",1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
"2739",1,"No Contact",10,10,NA,NA
"2740",1,"No Contact",69,NA,NA,NA
"2741",1,"No Contact",76,76,NA,NA
"2742",1,"No Contact",80,80,NA,NA
"2743",1,"Same-Sex Marriage Script by Straight Canvasser",18,NA,NA,NA
"2744",1,"No Contact",85,85,NA,NA
"2745",1,"No Contact",90,90,NA,NA
"2746",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"2747",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"2748",1,"Recycling Script by Straight Canvasser",50,50,NA,NA
"2749",1,"Recycling Script by Straight Canvasser",44,NA,NA,NA
"2750",1,"Recycling Script by Straight Canvasser",72,72,NA,NA
"2751",1,"No Contact",35,35,NA,NA
"2752",1,"No Contact",28,28,NA,NA
"2753",1,"No Contact",50,47,NA,NA
"2754",1,"No Contact",7,7,NA,NA
"2755",1,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,NA
"2756",1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
"2757",1,"No Contact",50,50,NA,NA
"2758",1,"Same-Sex Marriage Script by Gay Canvasser",87,100,NA,NA
"2759",1,"Same-Sex Marriage Script by Gay Canvasser",19,19,NA,NA
"2760",1,"Recycling Script by Gay Canvasser",62,62,NA,NA
"2761",1,"No Contact",88,88,NA,NA
"2762",1,"No Contact",75,NA,NA,NA
"2763",1,"Same-Sex Marriage Script by Straight Canvasser",75,75,NA,NA
"2764",1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
"2765",1,"Same-Sex Marriage Script by Straight Canvasser",78,78,NA,NA
"2766",1,"Same-Sex Marriage Script by Straight Canvasser",94,94,NA,NA
"2767",1,"Same-Sex Marriage Script by Straight Canvasser",11,11,NA,NA
"2768",1,"No Contact",1,1,NA,NA
"2769",1,"No Contact",86,86,NA,NA
"2770",1,"No Contact",50,44,NA,NA
"2771",1,"No Contact",32,32,NA,NA
"2772",1,"No Contact",96,96,NA,NA
"2773",1,"No Contact",50,NA,NA,NA
"2774",1,"No Contact",50,NA,NA,NA
"2775",1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
"2776",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"2777",1,"Same-Sex Marriage Script by Gay Canvasser",75,90,NA,NA
"2778",1,"Same-Sex Marriage Script by Gay Canvasser",96,98,NA,NA
"2779",1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
"2780",1,"No Contact",6,6,NA,NA
"2781",1,"No Contact",41,41,NA,NA
"2782",1,"Same-Sex Marriage Script by Straight Canvasser",51,NA,NA,NA
"2783",1,"Same-Sex Marriage Script by Straight Canvasser",50,54,NA,NA
"2784",1,"Same-Sex Marriage Script by Gay Canvasser",67,NA,NA,NA
"2785",1,"Same-Sex Marriage Script by Gay Canvasser",59,59,NA,NA
"2786",1,"No Contact",42,42,NA,NA
"2787",1,"No Contact",89,89,NA,NA
"2788",1,"No Contact",54,54,NA,NA
"2789",1,"Same-Sex Marriage Script by Straight Canvasser",50,54,NA,NA
"2790",1,"Recycling Script by Gay Canvasser",55,60,NA,NA
"2791",1,"No Contact",52,52,NA,NA
"2792",1,"No Contact",90,90,NA,NA
"2793",1,"No Contact",76,NA,NA,NA
"2794",1,"No Contact",97,97,NA,NA
"2795",1,"No Contact",71,71,NA,NA
"2796",1,"No Contact",32,32,NA,NA
"2797",1,"No Contact",100,NA,NA,NA
"2798",1,"No Contact",2,2,NA,NA
"2799",1,"Recycling Script by Gay Canvasser",50,46,NA,NA
"2800",1,"Recycling Script by Gay Canvasser",43,43,NA,NA
"2801",1,"Recycling Script by Gay Canvasser",97,97,NA,NA
"2802",1,"Recycling Script by Gay Canvasser",1,1,NA,NA
"2803",1,"Recycling Script by Straight Canvasser",42,42,NA,NA
"2804",1,"Recycling Script by Straight Canvasser",27,27,NA,NA
"2805",1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
"2806",1,"Same-Sex Marriage Script by Gay Canvasser",88,88,NA,NA
"2807",1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
"2808",1,"No Contact",100,100,NA,NA
"2809",1,"No Contact",57,57,NA,NA
"2810",1,"No Contact",41,41,NA,NA
"2811",1,"No Contact",32,32,NA,NA
"2812",1,"Recycling Script by Straight Canvasser",91,91,NA,NA
"2813",1,"Recycling Script by Straight Canvasser",61,61,NA,NA
"2814",1,"Same-Sex Marriage Script by Straight Canvasser",4,4,NA,NA
"2815",1,"Same-Sex Marriage Script by Straight Canvasser",11,23,NA,NA
"2816",1,"Same-Sex Marriage Script by Straight Canvasser",50,47,NA,NA
"2817",1,"Same-Sex Marriage Script by Straight Canvasser",63,65,NA,NA
"2818",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"2819",1,"No Contact",50,NA,NA,NA
"2820",1,"No Contact",90,90,NA,NA
"2821",1,"No Contact",84,84,NA,NA
"2822",1,"Same-Sex Marriage Script by Straight Canvasser",32,32,NA,NA
"2823",1,"Same-Sex Marriage Script by Straight Canvasser",83,83,NA,NA
"2824",1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
"2825",1,"Same-Sex Marriage Script by Straight Canvasser",50,47,NA,NA
"2826",1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
"2827",1,"No Contact",50,52,NA,NA
"2828",1,"No Contact",50,52,NA,NA
"2829",1,"No Contact",7,7,NA,NA
"2830",1,"No Contact",50,50,NA,NA
"2831",1,"Same-Sex Marriage Script by Straight Canvasser",9,9,NA,NA
"2832",1,"Same-Sex Marriage Script by Straight Canvasser",98,98,NA,NA
"2833",1,"Same-Sex Marriage Script by Straight Canvasser",71,71,NA,NA
"2834",1,"Same-Sex Marriage Script by Straight Canvasser",78,NA,NA,NA
"2835",1,"Recycling Script by Straight Canvasser",73,73,NA,NA
"2836",1,"Recycling Script by Straight Canvasser",50,48,NA,NA
"2837",1,"No Contact",3,3,NA,NA
"2838",1,"No Contact",50,51,NA,NA
"2839",1,"Same-Sex Marriage Script by Gay Canvasser",0,1,NA,NA
"2840",1,"Same-Sex Marriage Script by Gay Canvasser",50,47,NA,NA
"2841",1,"No Contact",3,3,NA,NA
"2842",1,"Same-Sex Marriage Script by Gay Canvasser",58,62,NA,NA
"2843",1,"Same-Sex Marriage Script by Gay Canvasser",33,46,NA,NA
"2844",1,"No Contact",46,46,NA,NA
"2845",1,"No Contact",51,51,NA,NA
"2846",1,"No Contact",79,79,NA,NA
"2847",1,"Recycling Script by Straight Canvasser",8,9,NA,NA
"2848",1,"Recycling Script by Straight Canvasser",81,81,NA,NA
"2849",1,"Recycling Script by Straight Canvasser",29,29,NA,NA
"2850",1,"Recycling Script by Straight Canvasser",66,66,NA,NA
"2851",1,"Recycling Script by Straight Canvasser",35,35,NA,NA
"2852",1,"Recycling Script by Straight Canvasser",88,88,NA,NA
"2853",1,"Recycling Script by Straight Canvasser",50,50,NA,NA
"2854",1,"No Contact",53,53,NA,NA
"2855",1,"No Contact",85,85,NA,NA
"2856",1,"No Contact",35,35,NA,NA
"2857",1,"No Contact",100,97,NA,NA
"2858",1,"No Contact",50,50,NA,NA
"2859",1,"No Contact",52,52,NA,NA
"2860",1,"No Contact",72,72,NA,NA
"2861",1,"No Contact",75,75,NA,NA
"2862",1,"No Contact",67,67,NA,NA
"2863",1,"No Contact",13,NA,NA,NA
"2864",1,"Same-Sex Marriage Script by Gay Canvasser",35,35,NA,NA
"2865",1,"Same-Sex Marriage Script by Gay Canvasser",40,NA,NA,NA
"2866",1,"No Contact",3,3,NA,NA
"2867",1,"No Contact",83,83,NA,NA
"2868",1,"No Contact",90,90,NA,NA
"2869",1,"No Contact",96,96,NA,NA
"2870",1,"No Contact",6,NA,NA,NA
"2871",1,"No Contact",40,40,NA,NA
"2872",1,"No Contact",62,62,NA,NA
"2873",1,"No Contact",50,50,NA,NA
"2874",1,"Same-Sex Marriage Script by Straight Canvasser",31,31,NA,NA
"2875",1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
"2876",1,"No Contact",15,NA,NA,NA
"2877",1,"No Contact",56,56,NA,NA
"2878",1,"Recycling Script by Straight Canvasser",50,50,NA,NA
"2879",1,"Recycling Script by Straight Canvasser",47,49,NA,NA
"2880",1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
"2881",1,"Same-Sex Marriage Script by Straight Canvasser",50,45,NA,NA
"2882",1,"Same-Sex Marriage Script by Gay Canvasser",2,3,NA,NA
"2883",1,"No Contact",100,100,NA,NA
"2884",1,"No Contact",44,NA,NA,NA
"2885",1,"No Contact",50,47,NA,NA
"2886",1,"No Contact",50,57,NA,NA
"2887",1,"No Contact",70,70,NA,NA
"2888",1,"No Contact",28,28,NA,NA
"2889",1,"No Contact",28,28,NA,NA
"2890",1,"No Contact",1,1,NA,NA
"2891",1,"Same-Sex Marriage Script by Gay Canvasser",24,24,NA,NA
"2892",1,"Same-Sex Marriage Script by Gay Canvasser",86,NA,NA,NA
"2893",1,"No Contact",98,98,NA,NA
"2894",1,"Same-Sex Marriage Script by Gay Canvasser",79,79,NA,NA
"2895",1,"No Contact",7,7,NA,NA
"2896",1,"No Contact",51,51,NA,NA
"2897",1,"Same-Sex Marriage Script by Straight Canvasser",29,29,NA,NA
"2898",1,"Same-Sex Marriage Script by Straight Canvasser",3,3,NA,NA
"2899",1,"Same-Sex Marriage Script by Straight Canvasser",53,NA,NA,NA
"2900",1,"Same-Sex Marriage Script by Straight Canvasser",99,99,NA,NA
"2901",1,"No Contact",50,55,NA,NA
"2902",1,"No Contact",84,84,NA,NA
"2903",1,"No Contact",81,81,NA,NA
"2904",1,"No Contact",50,49,NA,NA
"2905",1,"Same-Sex Marriage Script by Gay Canvasser",9,9,NA,NA
"2906",1,"Same-Sex Marriage Script by Gay Canvasser",50,44,NA,NA
"2907",1,"Same-Sex Marriage Script by Straight Canvasser",50,42,NA,NA
"2908",1,"No Contact",50,NA,NA,NA
"2909",1,"No Contact",86,NA,NA,NA
"2910",1,"No Contact",100,100,NA,NA
"2911",1,"No Contact",51,NA,NA,NA
"2912",1,"Same-Sex Marriage Script by Straight Canvasser",82,NA,NA,NA
"2913",1,"Same-Sex Marriage Script by Straight Canvasser",5,NA,NA,NA
"2914",1,"No Contact",13,13,NA,NA
"2915",1,"No Contact",27,NA,NA,NA
"2916",1,"Same-Sex Marriage Script by Gay Canvasser",9,14,NA,NA
"2917",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"2918",1,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,NA
"2919",1,"No Contact",38,38,NA,NA
"2920",1,"No Contact",31,31,NA,NA
"2921",1,"Recycling Script by Gay Canvasser",67,67,NA,NA
"2922",1,"Recycling Script by Gay Canvasser",3,0,NA,NA
"2923",1,"No Contact",4,4,NA,NA
"2924",1,"No Contact",52,52,NA,NA
"2925",1,"No Contact",100,100,NA,NA
"2926",1,"Recycling Script by Straight Canvasser",53,53,NA,NA
"2927",1,"Recycling Script by Straight Canvasser",50,47,NA,NA
"2928",1,"Recycling Script by Straight Canvasser",100,100,NA,NA
"2929",1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
"2930",1,"Recycling Script by Straight Canvasser",90,90,NA,NA
"2931",1,"Recycling Script by Straight Canvasser",93,93,NA,NA
"2932",1,"No Contact",73,73,NA,NA
"2933",1,"No Contact",51,51,NA,NA
"2934",1,"Recycling Script by Straight Canvasser",7,NA,NA,NA
"2935",1,"No Contact",20,20,NA,NA
"2936",1,"No Contact",2,2,NA,NA
"2937",1,"No Contact",50,51,NA,NA
"2938",1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
"2939",1,"Recycling Script by Straight Canvasser",51,51,NA,NA
"2940",1,"Recycling Script by Straight Canvasser",9,9,NA,NA
"2941",1,"No Contact",50,40,NA,NA
"2942",1,"No Contact",51,NA,NA,NA
"2943",1,"No Contact",44,44,NA,NA
"2944",1,"No Contact",48,48,NA,NA
"2945",1,"No Contact",71,NA,NA,NA
"2946",1,"No Contact",62,62,NA,NA
"2947",1,"No Contact",86,86,NA,NA
"2948",1,"No Contact",50,53,NA,NA
"2949",1,"No Contact",55,55,NA,NA
"2950",1,"No Contact",100,NA,NA,NA
"2951",1,"No Contact",51,51,NA,NA
"2952",1,"No Contact",80,80,NA,NA
"2953",1,"No Contact",50,NA,NA,NA
"2954",1,"Recycling Script by Straight Canvasser",50,46,NA,NA
"2955",1,"Recycling Script by Straight Canvasser",96,96,NA,NA
"2956",1,"Same-Sex Marriage Script by Straight Canvasser",51,NA,NA,NA
"2957",1,"Same-Sex Marriage Script by Straight Canvasser",82,82,NA,NA
"2958",1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
"2959",1,"Same-Sex Marriage Script by Straight Canvasser",53,53,NA,NA
"2960",1,"Same-Sex Marriage Script by Straight Canvasser",80,80,NA,NA
"2961",1,"No Contact",51,51,NA,NA
"2962",1,"No Contact",100,100,NA,NA
"2963",1,"Recycling Script by Straight Canvasser",53,54,NA,NA
"2964",1,"Recycling Script by Straight Canvasser",52,52,NA,NA
"2965",1,"Recycling Script by Straight Canvasser",3,NA,NA,NA
"2966",1,"Recycling Script by Straight Canvasser",66,66,NA,NA
"2967",1,"No Contact",91,91,NA,NA
"2968",1,"No Contact",52,52,NA,NA
"2969",1,"No Contact",33,33,NA,NA
"2970",1,"No Contact",94,94,NA,NA
"2971",1,"Recycling Script by Gay Canvasser",37,37,NA,NA
"2972",1,"Recycling Script by Gay Canvasser",2,2,NA,NA
"2973",1,"Recycling Script by Gay Canvasser",50,45,NA,NA
"2974",1,"No Contact",50,49,NA,NA
"2975",1,"Recycling Script by Straight Canvasser",75,75,NA,NA
"2976",1,"No Contact",46,46,NA,NA
"2977",1,"Recycling Script by Gay Canvasser",98,98,NA,NA
"2978",1,"Recycling Script by Straight Canvasser",48,48,NA,NA
"2979",1,"Recycling Script by Straight Canvasser",75,75,NA,NA
"2980",1,"Same-Sex Marriage Script by Straight Canvasser",45,45,NA,NA
"2981",1,"Same-Sex Marriage Script by Straight Canvasser",79,79,NA,NA
"2982",1,"Same-Sex Marriage Script by Straight Canvasser",88,88,NA,NA
"2983",1,"No Contact",95,95,NA,NA
"2984",1,"No Contact",90,90,NA,NA
"2985",1,"No Contact",50,45,NA,NA
"2986",1,"No Contact",87,87,NA,NA
"2987",1,"No Contact",51,51,NA,NA
"2988",1,"No Contact",77,77,NA,NA
"2989",1,"No Contact",51,51,NA,NA
"2990",1,"No Contact",72,72,NA,NA
"2991",1,"Recycling Script by Straight Canvasser",90,90,NA,NA
"2992",1,"Recycling Script by Straight Canvasser",20,20,NA,NA
"2993",1,"Recycling Script by Straight Canvasser",22,22,NA,NA
"2994",1,"Recycling Script by Straight Canvasser",61,NA,NA,NA
"2995",1,"Same-Sex Marriage Script by Gay Canvasser",83,83,NA,NA
"2996",1,"Same-Sex Marriage Script by Gay Canvasser",4,4,NA,NA
"2997",1,"Same-Sex Marriage Script by Gay Canvasser",5,5,NA,NA
"2998",1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
"2999",1,"No Contact",50,46,NA,NA
"3000",1,"No Contact",41,41,NA,NA
"3001",1,"No Contact",100,100,NA,NA
"3002",1,"Recycling Script by Straight Canvasser",34,34,NA,NA
"3003",1,"Recycling Script by Straight Canvasser",51,51,NA,NA
"3004",1,"Recycling Script by Gay Canvasser",100,100,NA,NA
"3005",1,"Recycling Script by Gay Canvasser",51,45,NA,NA
"3006",1,"Same-Sex Marriage Script by Gay Canvasser",95,100,NA,NA
"3007",1,"No Contact",50,49,NA,NA
"3008",1,"Same-Sex Marriage Script by Gay Canvasser",97,97,NA,NA
"3009",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"3010",1,"Recycling Script by Straight Canvasser",100,98,NA,NA
"3011",1,"Recycling Script by Straight Canvasser",51,51,NA,NA
"3012",1,"Recycling Script by Gay Canvasser",50,54,NA,NA
"3013",1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
"3014",1,"Recycling Script by Gay Canvasser",69,69,NA,NA
"3015",1,"No Contact",50,47,NA,NA
"3016",1,"No Contact",52,52,NA,NA
"3017",1,"No Contact",50,NA,NA,NA
"3018",1,"Recycling Script by Straight Canvasser",41,41,NA,NA
"3019",1,"Recycling Script by Straight Canvasser",50,55,NA,NA
"3020",1,"Recycling Script by Straight Canvasser",42,42,NA,NA
"3021",1,"Recycling Script by Straight Canvasser",77,77,NA,NA
"3022",1,"No Contact",34,34,NA,NA
"3023",1,"No Contact",93,93,NA,NA
"3024",1,"No Contact",76,76,NA,NA
"3025",1,"No Contact",1,1,NA,NA
"3026",1,"No Contact",87,87,NA,NA
"3027",1,"No Contact",51,51,NA,NA
"3028",1,"No Contact",50,54,NA,NA
"3029",1,"No Contact",50,51,NA,NA
"3030",1,"No Contact",50,NA,NA,NA
"3031",1,"No Contact",90,90,NA,NA
"3032",1,"No Contact",3,3,NA,NA
"3033",1,"No Contact",50,47,NA,NA
"3034",1,"No Contact",50,50,NA,NA
"3035",1,"No Contact",50,48,NA,NA
"3036",1,"No Contact",88,88,NA,NA
"3037",1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
"3038",1,"No Contact",78,78,NA,NA
"3039",1,"No Contact",100,100,NA,NA
"3040",1,"No Contact",12,12,NA,NA
"3041",1,"No Contact",12,12,NA,NA
"3042",1,"No Contact",89,89,NA,NA
"3043",1,"No Contact",54,54,NA,NA
"3044",1,"No Contact",73,73,NA,NA
"3045",1,"No Contact",50,54,NA,NA
"3046",1,"Same-Sex Marriage Script by Gay Canvasser",31,31,NA,NA
"3047",1,"No Contact",52,52,NA,NA
"3048",1,"Same-Sex Marriage Script by Straight Canvasser",99,99,NA,NA
"3049",1,"No Contact",99,99,NA,NA
"3050",1,"No Contact",53,53,NA,NA
"3051",1,"No Contact",11,11,NA,NA
"3052",1,"No Contact",6,6,NA,NA
"3053",1,"No Contact",3,3,NA,NA
"3054",1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
"3055",1,"Same-Sex Marriage Script by Straight Canvasser",88,88,NA,NA
"3056",1,"No Contact",85,85,NA,NA
"3057",1,"No Contact",52,52,NA,NA
"3058",1,"No Contact",3,3,NA,NA
"3059",1,"No Contact",91,91,NA,NA
"3060",1,"No Contact",73,73,NA,NA
"3061",1,"Recycling Script by Straight Canvasser",50,52,NA,NA
"3062",1,"No Contact",85,85,NA,NA
"3063",1,"No Contact",51,51,NA,NA
"3064",1,"Same-Sex Marriage Script by Straight Canvasser",50,58,NA,NA
"3065",1,"Same-Sex Marriage Script by Straight Canvasser",50,49,NA,NA
"3066",1,"Same-Sex Marriage Script by Straight Canvasser",86,87,NA,NA
"3067",1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
"3068",1,"Same-Sex Marriage Script by Gay Canvasser",35,35,NA,NA
"3069",1,"No Contact",90,90,NA,NA
"3070",1,"No Contact",87,87,NA,NA
"3071",1,"No Contact",75,75,NA,NA
"3072",1,"No Contact",88,88,NA,NA
"3073",1,"No Contact",69,69,NA,NA
"3074",1,"No Contact",50,45,NA,NA
"3075",1,"Same-Sex Marriage Script by Gay Canvasser",50,55,NA,NA
"3076",1,"Recycling Script by Gay Canvasser",61,NA,NA,NA
"3077",1,"Recycling Script by Gay Canvasser",43,43,NA,NA
"3078",1,"Recycling Script by Straight Canvasser",36,33,NA,NA
"3079",1,"Recycling Script by Straight Canvasser",60,60,NA,NA
"3080",1,"No Contact",91,91,NA,NA
"3081",1,"No Contact",2,NA,NA,NA
"3082",1,"No Contact",85,85,NA,NA
"3083",1,"No Contact",94,94,NA,NA
"3084",1,"No Contact",99,NA,NA,NA
"3085",1,"No Contact",12,12,NA,NA
"3086",1,"No Contact",50,57,NA,NA
"3087",1,"No Contact",90,90,NA,NA
"3088",1,"No Contact",17,17,NA,NA
"3089",1,"No Contact",98,98,NA,NA
"3090",1,"Recycling Script by Straight Canvasser",9,9,NA,NA
"3091",1,"Recycling Script by Straight Canvasser",46,46,NA,NA
"3092",1,"Same-Sex Marriage Script by Straight Canvasser",74,74,NA,NA
"3093",1,"Recycling Script by Gay Canvasser",10,10,NA,NA
"3094",1,"Recycling Script by Gay Canvasser",50,51,NA,NA
"3095",1,"Same-Sex Marriage Script by Straight Canvasser",25,25,NA,NA
"3096",1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
"3097",1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
"3098",1,"Same-Sex Marriage Script by Gay Canvasser",42,NA,NA,NA
"3099",1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
"3100",1,"Same-Sex Marriage Script by Straight Canvasser",92,92,NA,NA
"3101",1,"No Contact",50,NA,NA,NA
"3102",1,"No Contact",99,99,NA,NA
"3103",1,"No Contact",50,NA,NA,NA
"3104",1,"No Contact",78,78,NA,NA
"3105",1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
"3106",1,"Same-Sex Marriage Script by Gay Canvasser",3,3,NA,NA
"3107",1,"No Contact",56,56,NA,NA
"3108",1,"No Contact",59,59,NA,NA
"3109",1,"No Contact",50,47,NA,NA
"3110",1,"No Contact",75,75,NA,NA
"3111",1,"No Contact",53,NA,NA,NA
"3112",1,"No Contact",36,36,NA,NA
"3113",1,"Same-Sex Marriage Script by Gay Canvasser",50,55,NA,NA
"3114",1,"Same-Sex Marriage Script by Gay Canvasser",86,87,NA,NA
"3115",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"3116",1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
"3117",1,"No Contact",51,51,NA,NA
"3118",1,"No Contact",52,52,NA,NA
"3119",1,"No Contact",55,55,NA,NA
"3120",1,"No Contact",3,3,NA,NA
"3121",1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
"3122",1,"Recycling Script by Straight Canvasser",100,100,NA,NA
"3123",1,"Recycling Script by Straight Canvasser",3,3,NA,NA
"3124",1,"Recycling Script by Gay Canvasser",51,51,NA,NA
"3125",1,"Recycling Script by Gay Canvasser",100,96,NA,NA
"3126",1,"Same-Sex Marriage Script by Gay Canvasser",83,83,NA,NA
"3127",1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
"3128",1,"Same-Sex Marriage Script by Gay Canvasser",81,NA,NA,NA
"3129",1,"Same-Sex Marriage Script by Gay Canvasser",54,55,NA,NA
"3130",1,"Recycling Script by Gay Canvasser",41,NA,NA,NA
"3131",1,"Recycling Script by Gay Canvasser",59,59,NA,NA
"3132",1,"No Contact",95,95,NA,NA
"3133",1,"No Contact",50,50,NA,NA
"3134",1,"Same-Sex Marriage Script by Straight Canvasser",78,76,NA,NA
"3135",1,"No Contact",55,55,NA,NA
"3136",1,"Recycling Script by Straight Canvasser",50,46,NA,NA
"3137",1,"Recycling Script by Straight Canvasser",70,70,NA,NA
"3138",1,"Same-Sex Marriage Script by Gay Canvasser",9,9,NA,NA
"3139",1,"Same-Sex Marriage Script by Gay Canvasser",37,37,NA,NA
"3140",1,"Same-Sex Marriage Script by Gay Canvasser",50,47,NA,NA
"3141",1,"No Contact",94,94,NA,NA
"3142",1,"No Contact",41,41,NA,NA
"3143",1,"No Contact",7,7,NA,NA
"3144",1,"No Contact",50,NA,NA,NA
"3145",1,"Recycling Script by Straight Canvasser",99,99,NA,NA
"3146",1,"Recycling Script by Straight Canvasser",1,1,NA,NA
"3147",1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
"3148",1,"Same-Sex Marriage Script by Straight Canvasser",74,74,NA,NA
"3149",1,"Same-Sex Marriage Script by Gay Canvasser",3,0,NA,NA
"3150",1,"Same-Sex Marriage Script by Gay Canvasser",76,83,NA,NA
"3151",1,"Recycling Script by Straight Canvasser",50,46,NA,NA
"3152",1,"Same-Sex Marriage Script by Gay Canvasser",6,NA,NA,NA
"3153",1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
"3154",1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
"3155",1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
"3156",1,"No Contact",72,72,NA,NA
"3157",1,"No Contact",99,99,NA,NA
"3158",1,"No Contact",4,NA,NA,NA
"3159",1,"No Contact",50,47,NA,NA
"3160",1,"No Contact",100,100,NA,NA
"3161",1,"No Contact",100,100,NA,NA
"3162",1,"Recycling Script by Gay Canvasser",78,78,NA,NA
"3163",1,"Recycling Script by Gay Canvasser",30,30,NA,NA
"3164",1,"Recycling Script by Straight Canvasser",60,60,NA,NA
"3165",1,"Recycling Script by Straight Canvasser",79,79,NA,NA
"3166",1,"Recycling Script by Straight Canvasser",25,25,NA,NA
"3167",1,"Recycling Script by Straight Canvasser",69,69,NA,NA
"3168",1,"No Contact",87,87,NA,NA
"3169",1,"No Contact",2,2,NA,NA
"3170",1,"No Contact",50,54,NA,NA
"3171",1,"No Contact",85,85,NA,NA
"3172",1,"Same-Sex Marriage Script by Gay Canvasser",31,31,NA,NA
"3173",1,"Same-Sex Marriage Script by Gay Canvasser",7,7,NA,NA
"3174",1,"No Contact",50,49,NA,NA
"3175",1,"Same-Sex Marriage Script by Straight Canvasser",99,NA,NA,NA
"3176",1,"Same-Sex Marriage Script by Gay Canvasser",19,NA,NA,NA
"3177",1,"Same-Sex Marriage Script by Gay Canvasser",46,46,NA,NA
"3178",1,"No Contact",52,52,NA,NA
"3179",1,"No Contact",97,97,NA,NA
"3180",1,"No Contact",51,51,NA,NA
"3181",1,"No Contact",50,47,NA,NA
"3182",1,"No Contact",7,7,NA,NA
"3183",1,"No Contact",40,40,NA,NA
"3184",1,"Recycling Script by Straight Canvasser",100,100,NA,NA
"3185",1,"No Contact",15,15,NA,NA
"3186",1,"No Contact",50,46,NA,NA
"3187",1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
"3188",1,"Same-Sex Marriage Script by Straight Canvasser",50,54,NA,NA
"3189",1,"Same-Sex Marriage Script by Straight Canvasser",3,3,NA,NA
"3190",1,"No Contact",99,99,NA,NA
"3191",1,"Same-Sex Marriage Script by Straight Canvasser",50,60,NA,NA
"3192",1,"Same-Sex Marriage Script by Straight Canvasser",87,88,NA,NA
"3193",1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
"3194",1,"No Contact",22,NA,NA,NA
"3195",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"3196",1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
"3197",1,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,NA
"3198",1,"Same-Sex Marriage Script by Gay Canvasser",50,58,NA,NA
"3199",1,"No Contact",1,1,NA,NA
"3200",1,"No Contact",40,40,NA,NA
"3201",1,"No Contact",51,NA,NA,NA
"3202",1,"Same-Sex Marriage Script by Gay Canvasser",56,56,NA,NA
"3203",1,"Same-Sex Marriage Script by Straight Canvasser",59,59,NA,NA
"3204",1,"Same-Sex Marriage Script by Straight Canvasser",69,69,NA,NA
"3205",1,"Recycling Script by Gay Canvasser",5,5,NA,NA
"3206",1,"No Contact",50,44,NA,NA
"3207",1,"No Contact",20,20,NA,NA
"3208",1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
"3209",1,"Same-Sex Marriage Script by Straight Canvasser",62,62,NA,NA
"3210",1,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,NA
"3211",1,"No Contact",90,NA,NA,NA
