"","PWGTP","SEX","AGEP","CIT","COW","ENG","FER","JWMNP","LANX","MAR","SCHL","WAGP","ESR","WKHP","WRK","NATIVITY","PINCP","ENG_c","CIT_c","Work_Class","FER_c","SEX_c","AGE_C"
"458",44,1,60,1,1,NA,NA,NA,2,5,"21",0,3,NA,2,1,0,NA,"Born in US","Private",NA,"Male","31-64"
"459",56,1,28,1,1,NA,NA,80,2,5,"21",60000,1,40,1,1,62500,NA,"Born in US","Private",NA,"Male","19-30"
"460",44,1,29,1,1,NA,NA,90,2,1,"16",49000,1,40,1,1,49000,NA,"Born in US","Private",NA,"Male","19-30"
"461",48,2,30,1,1,NA,2,NA,2,1,"16",0,6,NA,2,1,0,NA,"Born in US","Private","No","Female","19-30"
"462",55,1,9,1,NA,NA,NA,NA,2,5,"05",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"463",39,2,7,1,NA,NA,NA,NA,2,5,"03",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"464",76,1,3,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"465",76,1,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"466",41,2,54,4,NA,3,NA,NA,1,1,"16",0,6,NA,2,2,0,"Not Well","US Citizen by Naturalization",NA,NA,"Female","31-64"
"467",49,1,66,1,NA,NA,NA,NA,2,5,"21",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","65-75"
"468",79,2,57,1,6,NA,NA,NA,2,1,"21",10000,1,10,1,1,105000,NA,"Born in US","Self-Employed",NA,"Female","31-64"
"469",71,1,59,1,1,NA,NA,20,2,1,"21",90000,1,50,1,1,90000,NA,"Born in US","Private",NA,"Male","31-64"
"470",189,2,30,1,1,NA,2,NA,2,5,"22",98000,2,40,1,1,98030,NA,"Born in US","Private","No","Female","19-30"
"471",141,1,25,1,1,NA,NA,NA,2,5,"21",75000,2,40,1,1,75100,NA,"Born in US","Private",NA,"Male","19-30"
"472",101,2,80,4,NA,1,NA,NA,1,2,"16",0,6,NA,2,2,21100,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"473",155,1,57,4,1,1,NA,15,1,1,"16",48000,1,40,1,2,48010,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"474",88,2,15,1,NA,1,2,NA,1,5,"12",0,NA,NA,NA,1,0,"Very Well","Born in US",NA,"No","Female","14-18"
"475",85,1,12,1,NA,1,NA,NA,1,5,"09",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"476",187,2,50,4,1,1,2,NA,1,1,"16",18000,2,25,1,2,18010,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"477",66,1,70,4,1,3,NA,NA,1,3,"19",0,6,NA,2,2,11000,"Not Well","US Citizen by Naturalization","Private",NA,"Male","65-75"
"478",67,2,68,4,NA,3,NA,NA,1,2,"16",0,6,NA,2,2,8100,"Not Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"479",35,1,75,1,NA,NA,NA,NA,2,1,"16",0,6,NA,2,1,36700,NA,"Born in US",NA,NA,"Male","65-75"
"480",40,2,69,1,NA,NA,NA,NA,2,1,"16",0,6,NA,2,1,10600,NA,"Born in US",NA,NA,"Female","65-75"
"481",35,1,68,4,NA,2,NA,NA,1,1,"21",0,6,NA,2,2,19000,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"482",25,2,69,4,NA,2,NA,NA,1,1,"20",0,6,NA,2,2,1300,"Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"483",61,2,28,1,1,1,2,60,1,5,"21",80000,1,40,1,1,80000,"Very Well","Born in US","Private","No","Female","19-30"
"484",75,2,42,1,1,NA,2,45,2,5,"19",39000,1,46,1,1,39000,NA,"Born in US","Private","No","Female","31-64"
"485",95,1,19,1,1,NA,NA,30,2,5,"16",11100,1,29,1,1,11100,NA,"Born in US","Private",NA,"Male","19-30"
"486",59,1,65,4,3,2,NA,30,1,1,"22",64000,1,40,1,2,65000,"Well","US Citizen by Naturalization","Government",NA,"Male","65-75"
"487",42,2,66,4,NA,NA,NA,NA,2,1,"22",0,6,NA,2,2,15000,NA,"US Citizen by Naturalization",NA,NA,"Female","65-75"
"488",77,1,70,4,NA,1,NA,NA,1,1,"22",0,6,NA,2,2,90600,"Very Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"489",56,2,68,4,3,2,NA,NA,1,1,"22",0,6,NA,2,2,20200,"Well","US Citizen by Naturalization","Government",NA,"Female","65-75"
"490",119,2,39,1,1,NA,2,59,2,5,"23",95000,1,40,NA,1,95000,NA,"Born in US","Private","No","Female","31-64"
"491",193,2,29,1,1,1,2,20,1,5,"16",60000,1,40,1,1,60010,"Very Well","Born in US","Private","No","Female","19-30"
"492",214,1,49,1,1,1,NA,NA,1,1,"16",58000,2,40,1,1,58020,"Very Well","Born in US","Private",NA,"Male","31-64"
"493",174,2,48,1,1,1,2,NA,1,1,"16",50000,2,40,1,1,50020,"Very Well","Born in US","Private","No","Female","31-64"
"494",103,1,21,1,1,1,NA,NA,1,5,"16",60000,2,40,1,1,60010,"Very Well","Born in US","Private",NA,"Male","19-30"
"495",167,1,74,1,NA,NA,NA,NA,2,3,"19",0,6,NA,2,1,36200,NA,"Born in US",NA,NA,"Male","65-75"
"496",296,1,46,1,NA,NA,NA,NA,2,3,"14",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","31-64"
"497",29,1,69,1,4,NA,NA,20,2,1,"22",45000,1,40,1,1,78500,NA,"Born in US","Government",NA,"Male","65-75"
"498",38,2,46,4,1,1,2,30,1,1,"21",71000,1,40,1,2,71000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"499",116,1,94,4,NA,1,NA,NA,1,1,"19",0,6,NA,2,2,24500,"Very Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"500",159,2,44,4,3,1,2,NA,1,1,"19",16000,1,20,1,2,16300,"Very Well","US Citizen by Naturalization","Government","No","Female","31-64"
"501",51,2,74,1,NA,NA,NA,NA,2,1,"16",0,6,NA,2,1,8600,NA,"Born in US",NA,NA,"Female","65-75"
"502",59,1,79,4,NA,NA,NA,NA,2,1,"09",0,6,NA,2,2,18600,NA,"US Citizen by Naturalization",NA,NA,"Male","over 75"
"503",50,1,28,4,1,2,NA,15,1,5,"21",47000,1,45,1,2,47000,"Well","US Citizen by Naturalization","Private",NA,"Male","19-30"
"504",80,1,70,4,6,2,NA,30,1,1,"20",0,1,40,1,2,35000,"Well","US Citizen by Naturalization","Self-Employed",NA,"Male","65-75"
"505",73,2,64,4,1,3,NA,15,1,1,"15",24000,1,40,1,2,24000,"Not Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"506",41,2,42,4,1,1,2,NA,1,5,"21",89000,1,40,1,2,89000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"507",31,1,8,1,NA,NA,NA,NA,2,5,"05",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"508",30,1,7,1,NA,NA,NA,NA,2,5,"04",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"509",44,1,70,4,4,3,NA,NA,1,1,"21",0,6,NA,2,2,5000,"Not Well","US Citizen by Naturalization","Government",NA,"Male","65-75"
"510",39,2,67,4,NA,3,NA,NA,1,1,"16",0,6,NA,2,2,4000,"Not Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"511",51,2,30,5,1,2,2,10,1,5,"19",6600,1,24,1,2,6600,"Well","Not a citizen of the US","Private","No","Female","19-30"
"512",66,1,6,1,NA,1,NA,NA,1,5,"04",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"513",76,1,4,1,NA,NA,NA,NA,NA,5,"02",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"514",66,1,32,5,1,3,NA,20,1,5,"15",35000,1,40,1,2,35000,"Not Well","Not a citizen of the US","Private",NA,"Male","31-64"
"515",44,2,72,1,NA,NA,NA,NA,2,3,"14",0,6,NA,NA,1,10900,NA,"Born in US",NA,NA,"Female","65-75"
"516",96,2,39,1,6,NA,2,NA,2,5,"16",0,2,28,NA,1,12000,NA,"Born in US","Self-Employed","No","Female","31-64"
"517",36,2,70,1,NA,NA,NA,NA,2,2,"16",0,6,NA,2,1,28800,NA,"Born in US",NA,NA,"Female","65-75"
"518",141,1,42,4,1,2,NA,15,1,1,"12",72000,1,40,1,2,72010,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"519",117,2,43,4,NA,2,2,NA,1,1,"16",0,6,NA,2,2,2410,"Well","US Citizen by Naturalization",NA,"No","Female","31-64"
"520",114,1,16,1,NA,1,NA,NA,1,5,"12",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","14-18"
"521",105,2,10,1,NA,1,NA,NA,1,5,"06",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"522",179,2,50,5,1,3,2,NA,1,5,"12",8000,2,20,2,2,8000,"Not Well","Not a citizen of the US","Private","No","Female","31-64"
"523",98,2,53,1,3,NA,NA,60,2,5,"21",129000,1,40,1,1,129000,NA,"Born in US","Government",NA,"Female","31-64"
"524",245,2,25,1,1,NA,2,NA,2,5,"21",78000,2,40,1,1,78200,NA,"Born in US","Private","No","Female","19-30"
"525",552,2,28,5,1,1,2,NA,1,5,"21",80000,2,40,1,2,80020,"Very Well","Not a citizen of the US","Private","No","Female","19-30"
"526",553,2,28,5,1,1,2,90,1,5,"21",72000,1,40,1,2,72020,"Very Well","Not a citizen of the US","Private","No","Female","19-30"
"527",96,1,39,4,1,1,NA,30,1,1,"19",45000,1,45,1,2,45000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"528",88,2,33,4,1,1,2,15,1,1,"21",45000,1,40,1,2,45000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"529",89,1,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"530",66,2,31,5,1,1,1,20,1,1,"20",26000,1,40,1,2,29600,"Very Well","Not a citizen of the US","Private","Yes","Female","31-64"
"531",75,1,32,5,1,1,NA,50,1,1,"22",135000,1,40,1,2,135000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"532",67,1,0,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"533",105,1,64,5,NA,2,NA,NA,1,1,"22",0,6,NA,2,2,0,"Well","Not a citizen of the US",NA,NA,"Male","31-64"
"534",106,2,59,5,7,3,NA,NA,1,1,"16",0,6,NA,2,2,0,"Not Well","Not a citizen of the US","Self-Employed",NA,"Female","31-64"
"535",67,1,46,1,1,NA,NA,20,2,1,"20",75000,1,40,1,1,75000,NA,"Born in US","Private",NA,"Male","31-64"
"536",72,2,41,4,1,NA,2,45,2,1,"19",77000,1,40,1,2,77000,NA,"US Citizen by Naturalization","Private","No","Female","31-64"
"537",62,1,21,1,1,NA,NA,25,2,5,"20",670,1,4,1,1,670,NA,"Born in US","Private",NA,"Male","19-30"
"538",52,1,6,1,NA,NA,NA,NA,2,5,"04",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"539",78,1,3,1,NA,NA,NA,NA,NA,5,"02",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"540",147,1,50,1,1,NA,NA,NA,2,1,"21",1e+05,2,40,1,1,102000,NA,"Born in US","Private",NA,"Male","31-64"
"541",166,2,47,4,4,1,2,NA,1,1,"21",88000,2,40,1,2,88500,"Very Well","US Citizen by Naturalization","Government","No","Female","31-64"
"542",139,1,17,1,NA,NA,NA,NA,2,5,"14",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","14-18"
"543",171,1,14,1,NA,NA,NA,NA,2,5,"11",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","14-18"
"544",167,1,40,4,1,1,NA,NA,1,5,"22",120000,1,40,1,2,120300,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"545",167,2,35,5,1,1,2,NA,1,5,"22",1e+05,2,40,1,2,100200,"Very Well","Not a citizen of the US","Private","No","Female","31-64"
"546",63,1,46,4,2,2,NA,10,1,1,"15",56000,1,40,1,2,56000,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"547",52,2,41,4,2,2,2,30,1,1,"16",46000,1,40,1,2,46010,"Well","US Citizen by Naturalization","Private","No","Female","31-64"
"548",61,1,13,1,NA,1,NA,NA,1,5,"09",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"549",56,2,12,1,NA,1,NA,NA,1,5,"10",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"550",68,2,69,4,NA,4,NA,NA,1,1,"01",0,6,NA,2,2,5400,"Not at all","US Citizen by Naturalization",NA,NA,"Female","65-75"
"551",54,1,70,4,3,2,NA,30,1,1,"19",20000,1,20,1,2,55300,"Well","US Citizen by Naturalization","Government",NA,"Male","65-75"
"552",50,2,55,4,3,2,NA,NA,1,1,"19",20000,2,30,2,2,20000,"Well","US Citizen by Naturalization","Government",NA,"Female","31-64"
"553",74,1,25,1,1,1,NA,NA,1,5,"21",0,3,NA,2,1,0,"Very Well","Born in US","Private",NA,"Male","19-30"
"554",61,2,24,1,1,1,2,40,1,5,"21",25000,1,48,1,1,25000,"Very Well","Born in US","Private","No","Female","19-30"
"555",61,1,62,1,1,NA,NA,15,2,1,"20",50000,1,40,1,1,50000,NA,"Born in US","Private",NA,"Male","31-64"
"556",171,2,60,4,1,2,NA,15,1,5,"16",18000,1,24,1,2,18000,"Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"557",258,1,58,5,1,2,NA,NA,1,1,"16",50000,2,40,1,2,50010,"Well","Not a citizen of the US","Private",NA,"Male","31-64"
"558",222,2,55,5,1,2,NA,NA,1,1,"16",38000,2,40,1,2,38010,"Well","Not a citizen of the US","Private",NA,"Female","31-64"
"559",36,2,94,1,NA,NA,NA,NA,2,1,"16",0,6,NA,2,1,10200,NA,"Born in US",NA,NA,"Female","over 75"
"560",28,1,94,1,NA,NA,NA,NA,2,1,"09",0,6,NA,2,1,16000,NA,"Born in US",NA,NA,"Male","over 75"
"561",34,1,37,3,5,NA,NA,15,2,1,"16",180000,1,40,NA,1,180500,NA,"Born Abroad by American Parent","Government",NA,"Male","31-64"
"562",40,2,36,1,4,NA,2,NA,2,1,"16",23000,1,30,NA,1,27200,NA,"Born in US","Government","No","Female","31-64"
"563",35,2,10,1,NA,NA,NA,NA,2,5,"07",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"564",49,2,61,1,3,NA,NA,15,2,3,"19",21900,1,32,1,1,22390,NA,"Born in US","Government",NA,"Female","31-64"
"565",51,2,60,1,1,NA,NA,15,2,3,"18",15000,1,40,NA,1,15000,NA,"Born in US","Private",NA,"Female","31-64"
"566",56,2,69,4,NA,1,NA,NA,1,3,"21",0,6,NA,2,2,24120,"Very Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"567",169,2,37,4,1,2,2,35,1,1,"13",12500,1,72,1,2,12500,"Well","US Citizen by Naturalization","Private","No","Female","31-64"
"568",154,1,46,5,1,3,NA,50,1,1,"15",56000,1,49,1,2,56000,"Not Well","Not a citizen of the US","Private",NA,"Male","31-64"
"569",150,2,15,1,NA,NA,2,NA,2,5,"11",0,NA,NA,NA,1,0,NA,"Born in US",NA,"No","Female","14-18"
"570",250,2,5,1,NA,NA,NA,NA,2,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"571",148,2,25,1,1,NA,2,25,2,5,"22",50000,1,40,NA,1,50200,NA,"Born in US","Private","No","Female","19-30"
"572",114,1,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"573",106,1,22,1,1,NA,NA,NA,2,5,"21",0,6,NA,NA,1,0,NA,"Born in US","Private",NA,"Male","19-30"
"574",146,1,54,5,1,2,NA,40,1,1,"18",40000,1,40,NA,2,40000,"Well","Not a citizen of the US","Private",NA,"Male","31-64"
"575",152,2,49,4,1,4,2,NA,1,1,"17",38600,6,60,NA,2,38700,"Not at all","US Citizen by Naturalization","Private","No","Female","31-64"
"576",171,1,89,4,NA,2,NA,NA,1,1,"21",0,6,NA,NA,2,6700,"Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"577",47,2,74,1,NA,NA,NA,NA,2,3,"22",0,6,NA,2,1,24700,NA,"Born in US",NA,NA,"Female","65-75"
"578",50,1,69,4,1,NA,NA,NA,2,3,"21",0,6,NA,2,2,38300,NA,"US Citizen by Naturalization","Private",NA,"Male","65-75"
"579",102,1,22,5,1,1,NA,5,1,5,"19",5000,1,16,1,2,5000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"580",132,1,24,5,1,1,NA,NA,1,5,"19",8000,2,24,2,2,8000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"581",155,1,24,1,1,NA,NA,NA,2,5,"19",60000,2,40,1,1,60010,NA,"Born in US","Private",NA,"Male","19-30"
"582",132,1,21,5,NA,1,NA,NA,1,5,"19",0,6,NA,2,2,0,"Very Well","Not a citizen of the US",NA,NA,"Male","19-30"
"583",104,1,29,5,1,1,NA,40,1,1,"22",12000,1,40,1,2,12000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"584",135,2,28,5,1,1,2,45,1,1,"22",72000,1,40,1,2,72000,"Very Well","Not a citizen of the US","Private","No","Female","19-30"
"585",51,2,58,4,3,1,NA,30,1,1,"21",2500,1,37,1,2,2500,"Very Well","US Citizen by Naturalization","Government",NA,"Female","31-64"
"586",55,1,65,4,7,1,NA,25,1,1,"21",30000,1,40,1,2,40000,"Very Well","US Citizen by Naturalization","Self-Employed",NA,"Male","65-75"
"587",65,1,21,1,1,NA,NA,30,2,5,"20",15000,1,40,1,1,15000,NA,"Born in US","Private",NA,"Male","19-30"
"588",35,1,53,4,1,1,NA,50,1,1,"24",565000,1,50,1,2,565300,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"589",31,2,48,4,1,1,2,60,1,1,"22",197000,1,50,1,2,197300,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"590",33,2,12,1,NA,NA,NA,NA,2,5,"09",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"591",108,1,62,1,6,NA,NA,5,2,1,"22",0,1,60,1,1,483000,NA,"Born in US","Self-Employed",NA,"Male","31-64"
"592",121,2,64,1,6,NA,NA,NA,2,1,"22",0,1,60,1,1,85000,NA,"Born in US","Self-Employed",NA,"Female","31-64"
"593",123,2,28,1,8,1,2,NA,1,5,"21",800,3,70,2,1,800,"Very Well","Born in US","Working for family without pay","No","Female","19-30"
"594",50,1,74,1,NA,NA,NA,NA,2,1,"20",0,6,NA,2,1,45000,NA,"Born in US",NA,NA,"Male","65-75"
"595",55,2,72,1,NA,NA,NA,NA,2,1,"20",0,6,NA,2,1,24000,NA,"Born in US",NA,NA,"Female","65-75"
"596",237,2,64,1,1,NA,NA,NA,2,5,"16",36000,2,32,1,1,33700,NA,"Born in US","Private",NA,"Female","31-64"
"597",257,1,63,1,NA,NA,NA,NA,2,5,"16",0,6,NA,2,1,18010,NA,"Born in US",NA,NA,"Male","31-64"
"598",56,2,74,1,NA,NA,NA,NA,2,3,"16",0,6,NA,2,1,2550,NA,"Born in US",NA,NA,"Female","65-75"
"599",81,1,33,1,1,NA,NA,10,2,1,"16",15000,1,30,1,1,15000,NA,"Born in US","Private",NA,"Male","31-64"
"600",65,1,73,1,1,NA,NA,10,2,5,"20",4800,1,24,1,1,16300,NA,"Born in US","Private",NA,"Male","65-75"
"601",35,2,54,1,NA,1,NA,NA,1,4,"20",0,6,NA,2,1,25800,"Very Well","Born in US",NA,NA,"Female","31-64"
"602",53,2,89,1,NA,1,NA,NA,1,3,"20",0,6,NA,2,1,16200,"Very Well","Born in US",NA,NA,"Female","over 75"
"603",65,1,64,4,1,3,NA,70,1,1,"01",38000,1,32,1,2,38000,"Not Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"604",54,2,54,4,NA,1,NA,NA,1,1,"15",0,6,NA,NA,2,0,"Very Well","US Citizen by Naturalization",NA,NA,"Female","31-64"
"605",77,2,32,1,1,1,2,NA,1,5,"20",0,6,NA,NA,1,6900,"Very Well","Born in US","Private","No","Female","31-64"
"606",91,2,29,1,5,1,2,30,1,5,"16",59000,1,40,NA,1,59000,"Very Well","Born in US","Government","No","Female","19-30"
"607",77,2,85,4,NA,1,NA,NA,1,4,"17",0,6,NA,NA,2,7900,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"608",64,2,8,3,NA,NA,NA,NA,2,5,"04",NA,NA,NA,NA,1,NA,NA,"Born Abroad by American Parent",NA,NA,"Female","6-13"
"609",66,1,40,4,1,1,NA,30,1,1,"22",180000,1,40,1,2,180000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"610",66,2,36,4,1,1,2,25,1,1,"22",180000,1,40,1,2,180000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"611",69,2,9,1,NA,1,NA,NA,1,5,"06",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"612",54,1,7,1,NA,1,NA,NA,1,5,"05",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"613",76,2,67,4,NA,2,NA,NA,1,2,"01",0,6,NA,NA,2,0,"Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"614",63,2,30,4,3,1,2,90,1,2,"21",85000,1,40,1,2,85000,"Very Well","US Citizen by Naturalization","Government","No","Female","19-30"
"615",66,2,6,1,NA,NA,NA,NA,2,5,"03",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"616",58,1,4,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"617",72,2,71,4,NA,1,NA,NA,1,5,"16",0,6,NA,NA,2,15600,"Very Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"618",68,2,24,1,1,NA,2,20,2,5,"16",21800,1,40,NA,1,21800,NA,"Born in US","Private","No","Female","19-30"
"619",91,2,62,4,NA,NA,NA,NA,2,2,"19",0,6,NA,2,2,4100,NA,"US Citizen by Naturalization",NA,NA,"Female","31-64"
"620",52,1,38,1,1,1,NA,20,1,1,"14",60000,1,40,NA,1,60000,"Very Well","Born in US","Private",NA,"Male","31-64"
"621",50,2,37,1,1,NA,2,10,2,1,"22",140000,1,40,NA,1,146600,NA,"Born in US","Private","No","Female","31-64"
"622",49,1,19,1,1,1,NA,NA,1,5,"18",20000,3,25,NA,1,20000,"Very Well","Born in US","Private",NA,"Male","19-30"
"623",57,1,10,1,NA,1,NA,NA,1,5,"08",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"624",61,1,55,4,6,2,NA,10,1,1,"16",0,1,40,1,2,80000,"Well","US Citizen by Naturalization","Self-Employed",NA,"Male","31-64"
"625",52,2,51,4,3,1,NA,20,1,1,"21",120000,1,40,NA,2,120500,"Very Well","US Citizen by Naturalization","Government",NA,"Female","31-64"
"626",47,1,24,1,1,NA,NA,NA,2,5,"22",0,6,NA,NA,1,0,NA,"Born in US","Private",NA,"Male","19-30"
"627",35,1,66,4,1,1,NA,60,1,1,"21",56000,1,20,1,2,75500,"Very Well","US Citizen by Naturalization","Private",NA,"Male","65-75"
"628",32,2,58,4,1,1,NA,NA,1,1,"20",0,6,NA,2,2,0,"Very Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"629",58,1,32,1,1,NA,NA,60,2,1,"19",26200,1,35,1,1,26200,NA,"Born in US","Private",NA,"Male","31-64"
"630",37,2,5,1,NA,NA,NA,NA,2,5,"02",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"631",34,2,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born Abroad by American Parent",NA,NA,"Female","5 and under"
"632",52,2,32,1,1,NA,2,60,2,1,"19",30000,1,40,1,1,30000,NA,"Born in US","Private","No","Female","31-64"
"633",179,1,35,1,1,NA,NA,NA,2,5,"16",60000,1,40,1,1,60000,NA,"Born in US","Private",NA,"Male","31-64"
"634",122,1,42,4,1,1,NA,45,1,3,"21",2e+05,1,45,1,2,2e+05,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"635",102,1,4,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"636",171,1,70,4,1,3,NA,NA,1,1,"16",0,6,NA,2,2,16800,"Not Well","US Citizen by Naturalization","Private",NA,"Male","65-75"
"637",127,2,68,4,1,3,NA,NA,1,1,"16",0,6,NA,2,2,13200,"Not Well","US Citizen by Naturalization","Private",NA,"Female","65-75"
"638",130,2,36,4,1,1,2,30,1,1,"21",150000,1,40,1,2,150000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"639",136,1,38,4,1,1,NA,30,1,1,"20",150000,1,40,1,2,150000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"640",91,2,27,5,2,1,2,30,1,1,"21",103000,1,36,1,2,103000,"Very Well","Not a citizen of the US","Private","No","Female","19-30"
"641",127,2,26,5,1,1,2,NA,1,5,"19",16000,2,40,2,2,16000,"Very Well","Not a citizen of the US","Private","No","Female","19-30"
"642",82,1,24,5,2,1,NA,75,1,5,"20",7000,1,20,1,2,7000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"643",105,1,59,5,1,1,NA,45,1,1,"21",30000,1,40,1,2,30000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"644",104,2,58,5,1,1,NA,90,1,1,"21",22000,1,35,1,2,22000,"Very Well","Not a citizen of the US","Private",NA,"Female","31-64"
"645",63,1,70,1,NA,NA,NA,NA,2,5,"20",0,6,NA,2,1,4400,NA,"Born in US",NA,NA,"Male","65-75"
"646",78,1,59,1,1,NA,NA,30,2,3,"16",16000,1,40,1,1,16000,NA,"Born in US","Private",NA,"Male","31-64"
"647",91,1,59,4,1,2,NA,50,1,1,"21",63000,1,40,1,2,63000,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"648",89,2,59,4,5,2,NA,30,1,1,"21",49600,1,40,1,2,49600,"Well","US Citizen by Naturalization","Government",NA,"Female","31-64"
"649",131,2,84,4,NA,4,NA,NA,1,2,"01",0,6,NA,2,2,7800,"Not at all","US Citizen by Naturalization",NA,NA,"Female","over 75"
"650",180,2,47,4,1,NA,2,60,2,5,"21",94000,1,40,1,2,94000,NA,"US Citizen by Naturalization","Private","No","Female","31-64"
"651",101,1,31,1,1,1,NA,45,1,1,"22",115000,1,40,1,1,115000,"Very Well","Born in US","Private",NA,"Male","31-64"
"652",102,2,34,5,NA,1,2,NA,1,1,"22",0,6,NA,2,2,0,"Very Well","Not a citizen of the US",NA,"No","Female","31-64"
"653",120,2,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
